,Location ID,City,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
217,LOC_4,Chennai,Mogaippar - Eri Scheme,Naturals Salon,"No: 113, Vellalar St, next to Sbi Bank, Paneer Nagar, Mogappair, Chennai, Tamil Nadu 600037, India",13.0851487,80.1747146,4.4,582,ChIJJ-9f2-RjUjoRRvuFHHJ9c0A,https://www.google.com/maps/place/?q=place_id:ChIJJ-9f2-RjUjoRRvuFHHJ9c0A,Chennai Mogaippar - Eri SchemeNaturals Salon
226,LOC_2,Chennai,Moulivakkam,Naturals Salon,"No 1, 1st Floor, Thirupurasundari Avenue, Mugalivakkam Main Rd, Subbiah Nagar, Thiripurasundari Avenue, Mugalivakkam, Chennai, Tamil Nadu 600125, India",13.0217831,80.1531722,4.9,983,ChIJXfh6HY9hUjoREBOBIWU-0GY,https://www.google.com/maps/place/?q=place_id:ChIJXfh6HY9hUjoREBOBIWU-0GY,Chennai MoulivakkamNaturals Salon
228,LOC_2,Chennai,Mudichur,Naturals Salon,"1st Floor, Nawab Habibulla Nagar, Plot No 26, Mudichur Rd, next to City Union Bank, Mudichur, Chennai, Tamil Nadu 600048, India",12.913612,80.07093429999999,4.9,891,ChIJIZ-Imdv1UjoRZmD64mN4OWo,https://www.google.com/maps/place/?q=place_id:ChIJIZ-Imdv1UjoRZmD64mN4OWo,Chennai MudichurNaturals Salon
232,LOC_6,Chennai,Mudichur,Naturals Signature Salon,"Raymonds Shop, AVICHI HIGHER SECONDARY SCHOOL, No.87, Arcot Rd, AVM Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",13.0475892,80.1964168,4.8,2803,ChIJodImr89mUjoRSoZ_fAJu18I,https://www.google.com/maps/place/?q=place_id:ChIJodImr89mUjoRSoZ_fAJu18I,Chennai MudichurNaturals Signature Salon
236,LOC_10,Chennai,Mudichur,Naturals Salon,"1st Floor, 3/192A, East Coast Rd, opposite Church, Mahatma Gandhi Nagar, Vettuvankeni, Chennai, Tamil Nadu 600115, India",12.9388093,80.2526082,4.8,573,ChIJHXQ-vnRdUjoRQHyiWkGAa3U,https://www.google.com/maps/place/?q=place_id:ChIJHXQ-vnRdUjoRQHyiWkGAa3U,Chennai MudichurNaturals Salon
241,LOC_3,Chennai,Mugalivakkam,Naturals Salon,"Shop No 5 & 5b, Valluvar Salai Mgr Garden, opposite Home Finders Street, Apartments, Ramapuram, Kanchipuram, Tamil Nadu 600089, India",13.0251157,80.1829084,4.7,2714,ChIJhWfFztNgUjoRJCBCJGYXinw,https://www.google.com/maps/place/?q=place_id:ChIJhWfFztNgUjoRJCBCJGYXinw,Chennai MugalivakkamNaturals Salon
242,LOC_4,Chennai,Mugalivakkam,Naturals Salon,"No 156, Niranjan Square, Mount Poonamallee Rd, Lakshmi Nagar, Porur, Chennai, Tamil Nadu 600116, India",13.0334705,80.1616523,4.7,958,ChIJ222z60lhUjoR5mjtxNVXboo,https://www.google.com/maps/place/?q=place_id:ChIJ222z60lhUjoR5mjtxNVXboo,Chennai MugalivakkamNaturals Salon
246,LOC_1,Chennai,Nanganallur,Naturals Salon,"No B82, 2nd Floor, Jagadamba Complex, M.G.R. Rd, near Vetrivel Theater, Hindu Colony, Nanganallur, Chennai, Tamil Nadu 600061, India",12.9767394,80.1833296,4.8,2317,ChIJ76BAHwZeUjoRZfig6Gu7jYI,https://www.google.com/maps/place/?q=place_id:ChIJ76BAHwZeUjoRZfig6Gu7jYI,Chennai NanganallurNaturals Salon
249,LOC_1,Chennai,Neelankarai,Naturals Salon & Spa Neelankarai,"2nd floor, pnb & yes bank, Manjula Complex, 14, SH 49, above to, Saraswathy Nagar North, Neelankarai, Chennai, Tamil Nadu 600041, India",12.9520182,80.2551613,4.4,354,ChIJs9Z-4CFdUjoRS4zx23zLqGo,https://www.google.com/maps/place/?q=place_id:ChIJs9Z-4CFdUjoRS4zx23zLqGo,Chennai NeelankaraiNaturals Salon & Spa Neelankarai
257,LOC_2,Chennai,Pallikaranai,Naturals Salon,"1, 1st Cross Street Baby Nagar, Seshadripuram, Velachery, Chennai, Tamil Nadu 600042, India",12.9807477,80.2293071,4.6,1865,ChIJNTtp3wxdUjoRpV-L4cf8_9M,https://www.google.com/maps/place/?q=place_id:ChIJNTtp3wxdUjoRpV-L4cf8_9M,Chennai PallikaranaiNaturals Salon
